#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.31Z,3038.49,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.32Z,3033.98,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.33Z,3029.48,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.34Z,3025.03,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.35Z,3020.5,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.36Z,3016.09,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.37Z,3011.66,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.38Z,3007.31,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.39Z,3002.96,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.4Z,2998.65,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.41Z,2994.35,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.42Z,2990.05,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.43Z,2985.83,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.44Z,2981.73,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.45Z,2977.64,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.46Z,2973.58,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.47Z,2969.65,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.48Z,2965.83,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.49Z,2962.13,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.5Z,2958.43,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.51Z,2954.73,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.52Z,2951.08,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.53Z,2947.49,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.54Z,2943.94,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.55Z,2940.43,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.56Z,2936.92,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.57Z,2933.48,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.58Z,2930.03,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.59Z,2926.62,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.6Z,2923.2,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.61Z,2919.89,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.62Z,2916.57,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.63Z,2913.36,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.64Z,2910.16,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.65Z,2906.94,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.66Z,2903.79,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.67Z,2900.67,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.68Z,2897.55,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.69Z,2894.51,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.7Z,2891.45,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.71Z,2888.54,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.72Z,2885.54,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.73Z,2882.58,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.74Z,2879.63,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.75Z,2876.71,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.76Z,2873.83,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.77Z,2871.02,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.78Z,2868.23,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.79Z,2865.43,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.8Z,2862.7,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.81Z,2859.99,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.82Z,2857.32,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.83Z,2854.64,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.84Z,2852.03,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.85Z,2849.43,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.86Z,2846.82,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.87Z,2844.27,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.88Z,2841.75,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.89Z,2839.25,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.9Z,2836.83,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.91Z,2834.7,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.92Z,2833.11,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.93Z,2832.67,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.94Z,2833.59,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.95Z,2836.34,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.96Z,2840.75,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.97Z,2847.38,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.98Z,2855.4,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:27.99Z,2865.04,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28Z,2875.64,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.01Z,2886.77,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.02Z,2898.63,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.03Z,2911.01,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.04Z,2923.51,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.05Z,2936.4,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.06Z,2949.6,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.07Z,2963.04,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.08Z,2976.42,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.09Z,2989.66,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.1Z,3002.49,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.11Z,3014.95,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.12Z,3027.04,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.13Z,3038.58,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.14Z,3049.59,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.15Z,3059.7,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.16Z,3069.19,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.17Z,3077.98,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.18Z,3086.08,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.19Z,3093.5,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.2Z,3100.08,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.21Z,3105.97,pB,R
,,0,2022-07-18T18:37:26Z,2022-07-18T18:37:33Z,2022-07-18T18:37:28.22Z,3111.07,pB,R
